Date (America/Los_Angeles),Author,Comment
"2012-12-07 09:11:10","cthorpee",""
"2012-12-07 09:10:41","cthorpee",""
"2012-12-07 05:38:53","cthorpee",""
"2012-12-06 12:22:23","cthorpee",""
"2012-12-06 12:22:03","cthorpee",""
"2012-12-06 12:21:43","cthorpee",""
"2012-12-06 12:21:11","cthorpee",""
"2012-12-06 12:20:56","cthorpee",""
